gesture,gesture_class,index_disdis,index_interdis,index_metdis,index_prodis,little_disdis,little_interdis,little_metdis,little_prodis,middle_disdis,middle_interdis,middle_metdis,middle_prodis,ring_disdis,ring_interdis,ring_metdis,ring_prodis,thumb_disdis,thumb_interdis,thumb_metdis,thumb_prodis
G,7,112.9426161,99.81745678,62.74140849,83.17942902,156.3477693,148.1707099,103.2376747,136.438233,138.6111433,124.4094396,78.25159992,104.5817887,150.4983043,139.0417266,92.02927447,123.0812425,31.74704138,25.68110533,21.89415195,16.81534051
G,7,78.38809927,63.75180218,38.29408863,47.44620077,116.3505593,110.0435379,75.49178784,102.9193996,103.107388,86.84537847,49.81902926,69.17404522,110.0865886,98.69526215,63.19109489,86.97874345,14.43095373,18.20194063,55.97225977,33.64443314
G,7,68.54297941,50.6050054,23.07876537,29.94137814,112.6221946,97.65969105,51.45612776,80.25292336,91.05590286,72.35289714,26.09338591,48.18230809,124.8946666,104.8673035,39.01933751,74.91918043,37.42969143,36.8181317,37.81191962,42.514208
G,7,54.56057329,40.58208744,58.53226198,43.91431852,87.5121076,89.7185291,83.27941504,90.83194065,62.26486565,65.61715602,64.29410262,73.88602664,79.73188887,86.44748657,73.56514226,92.96989166,26.41649395,35.63048238,47.03039553,50.82126968
G,7,126.1169621,118.7139248,51.77717263,101.4306385,148.0494549,132.2903362,67.00967692,112.0654874,145.6833062,137.7788232,61.21962226,118.0717494,163.0487708,145.581562,65.3859205,117.3970964,54.73169105,39.73077466,29.59395603,23.44624476
H,8,15.59229537,14.5218867,35.89410169,20.16151491,99.59958632,83.22006303,24.80643897,60.90090346,53.75553362,39.28602463,21.73448023,20.89873205,117.8865489,95.86017477,18.28702095,58.76225306,66.06465229,42.06834556,47.89102528,40.10428161
H,8,64.85435576,51.52818234,27.76836043,36.06923314,107.9561623,91.60598482,19.6708872,68.89720424,88.43669961,70.59525097,16.32686172,45.77274772,133.5953035,111.8708329,12.51306716,74.35770602,55.35099078,32.21364266,34.38682227,27.89656798
H,8,103.6577128,98.19407423,74.07562367,91.68639433,93.52557685,83.86232804,57.46791504,74.74911108,116.2390424,100.4800608,67.5499268,83.1834978,105.7837846,90.95107675,60.24957389,74.73302087,32.01792896,36.67359914,27.11905131,35.60346764
H,8,70.01294709,59.71597483,28.29723156,45.8590765,67.39849409,55.0014253,18.64646102,39.10315458,77.79490535,64.2488656,16.04262275,43.96476805,82.52294907,65.44261048,9.640071561,37.99747781,48.69723909,45.75868973,55.22943384,46.43044665
H,8,76.12909148,62.31703051,39.94354465,46.75988737,75.54782031,55.49434651,16.53665394,34.20293442,90.30880664,71.02250524,26.01546102,44.5447203,83.0170133,62.54475662,14.32471131,33.76646747,44.59115751,29.51888433,43.24582114,32.27034468
H,8,27.97475523,25.0791522,43.94554849,27.78205211,98.95275626,79.02987623,13.41985239,51.62078526,48.20560699,36.48252247,25.53175428,21.42114882,111.6679935,88.8011218,11.00280519,48.37284788,55.42789204,43.98320755,59.60870342,41.87929192
H,8,34.63311452,23.50060743,35.5242975,14.72191395,82.05070604,65.37264078,28.63218712,48.49070475,62.8455605,47.40237689,28.13110281,26.44975439,111.2669597,88.70906196,26.95345767,54.22882337,65.29963304,48.3842509,46.98451345,35.30816567
H,8,52.50756881,43.57394627,26.17358053,33.89214394,88.77848414,69.43048426,15.19190748,47.08337703,79.31406726,64.97903105,20.51954809,45.33093141,109.6306308,86.00980294,15.49727035,51.33191054,70.79835586,39.30270825,19.77185708,22.33177221
H,8,121.78024,110.6408614,67.69843642,94.99368878,113.0449164,100.3508147,51.04156952,84.47996236,132.0455922,117.6166717,60.74861539,96.05390541,127.0213485,111.8233528,52.94517023,89.12677054,37.2336137,35.20110088,26.92622345,35.42468045
H,8,64.65003705,53.14238858,18.64711832,38.62800792,95.5121653,77.76637992,32.59161345,58.56310512,80.47759825,65.02333162,13.25151285,43.655674,102.3350891,82.89195968,19.42447819,54.87066962,78.18939003,46.35549971,40.6116837,30.19338059
H,8,75.28872448,52.81221845,40.37612137,30.7633849,99.67235708,84.70901806,18.89443554,63.06045994,61.48580411,45.71695206,19.50147811,23.94407299,111.9762658,91.54497906,3.399706871,56.21404363,49.3753843,31.6011235,48.30525518,40.99801269
H,8,72.56188611,57.84674699,12.54614554,38.11459235,125.6356825,114.5732239,62.13992215,100.2415319,103.5079597,87.69945947,27.00048954,64.44543377,132.5402351,116.9567015,46.14639169,92.59862245,66.9399032,36.97641198,62.22779072,37.29349196
